Date,VLY,R2000,Rentabilidad_VLY,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,VLY Premium
2020-04-01,6.4013776779174805,1310.6600341796875,0.1488332494973898,0.1280769065897224,0.136,0.025,-0.0134,0.0,0.1280769065897224,0.1488332494973898
2020-05-01,6.110406875610352,1394.0400390625,-0.0465198666553616,0.0616751811402117,0.0557,0.024,-0.05,0.0001,0.061575181140211696,-0.0466198666553616
2020-06-01,5.987892150878906,1441.3699951171875,-0.0202539071993753,0.0333880124532906,0.0245,0.026699999999999998,-0.0217,0.0001,0.0332880124532906,-0.0203539071993753
2020-07-01,5.801183700561523,1480.4300537109375,-0.03167747248661,0.0267385755928547,0.0583,-0.0235,-0.0144,0.0001,0.0266385755928547,-0.03177747248661
2020-08-01,5.832247257232666,1561.8800048828125,0.0053404074191696,0.0535576046102412,0.0762,-0.002,-0.0302,0.0001,0.0534576046102412,0.0052404074191696
2020-09-01,5.319692134857178,1507.68994140625,-0.0919869581611708,-0.0353115877104516,-0.0364,0.0006,-0.027200000000000002,0.0001,-0.0354115877104516,-0.09208695816117081
2020-10-01,6.023977279663086,1538.47998046875,0.1243322865628991,0.0202162640270378,-0.0208,0.0434,0.0425,0.0001,0.0201162640270378,0.1242322865628991
2020-11-01,7.206694602966309,1819.8199462890625,0.1792626811335423,0.1679426622590485,0.1245,0.0581,0.0209,0.0001,0.1678426622590485,0.1791626811335423
2020-12-01,7.687665462493896,1974.8599853515625,0.0646067564897008,0.0817599367627999,0.0463,0.0501,-0.0168,0.0001,0.0816599367627999,0.06450675648970079
2021-01-01,8.142609596252441,2073.639892578125,0.0574935613794576,0.0488079629625473,-0.0007000000000000001,0.07139999999999999,0.0322,0.0,0.0488079629625473,0.0574935613794576
2021-02-01,9.769536018371582,2201.050048828125,0.182158256627046,0.0596290761074647,0.0281,0.0202,0.07200000000000001,0.0,0.0596290761074647,0.182158256627046
2021-03-01,10.95783233642578,2220.52001953125,0.114785507951772,0.0088068700685118,0.0317,-0.0233,0.0735,0.0,0.0088068700685118,0.114785507951772
2021-04-01,11.070061683654783,2266.449951171875,0.0101898364151663,0.0204732976802641,0.0495,-0.0319,-0.0102,0.0,0.0204732976802641,0.0101898364151663
2021-05-01,11.51222038269043,2268.969970703125,0.0391647942870749,0.0011112619488339,0.003,-0.002,0.0704,0.0,0.0011112619488339,0.0391647942870749
2021-06-01,10.796724319458008,2310.550048828125,-0.0641663287675669,0.0181596414495439,0.0274,0.017,-0.0786,0.0,0.0181596414495439,-0.0641663287675669
2021-07-01,10.444375038146973,2226.25,-0.0331792247424954,-0.0371670569425747,0.0134,-0.0393,-0.0179,0.0,-0.0371670569425747,-0.0331792247424954
2021-08-01,10.565917015075684,2273.77001953125,0.0115698851249905,0.0211206998213659,0.0294,-0.0032,-0.0023,0.0,0.0211206998213659,0.0115698851249905
2021-09-01,10.784689903259276,2204.3701171875,0.020494082079523,-0.0309974484926618,-0.044000000000000004,0.0066,0.0512,0.0,-0.0309974484926618,0.020494082079523
2021-10-01,10.840971946716309,2297.18994140625,0.0052051281408069,0.0412448044158406,0.0663,-0.0226,-0.0053,0.0,0.0412448044158406,0.0052051281408069
2021-11-01,10.98813247680664,2198.909912109375,0.0134831696857259,-0.0437248682957106,-0.0158,-0.0131,-0.0037,0.0,-0.0437248682957106,0.0134831696857259
2021-12-01,11.241579055786133,2245.31005859375,0.0228034953296713,0.0208818793194226,0.0323,-0.0163,0.0325,0.0001,0.0207818793194226,0.0227034953296713
2022-01-01,11.473641395568848,2028.449951171875,0.0204330320482023,-0.1015716918562933,-0.0616,-0.0593,0.1286,0.0,-0.1015716918562933,0.0204330320482023
2022-02-01,11.514854431152344,2048.090087890625,0.0035855394843886,0.0096357639039541,-0.022799999999999997,0.0216,0.030600000000000002,0.0,0.0096357639039541,0.0035855394843886
2022-03-01,10.7318115234375,2070.1298828125,-0.0704255212218627,0.0107036561912689,0.0308,-0.0155,-0.019,0.0,0.0107036561912689,-0.0704255212218627
2022-04-01,9.955646514892578,1864.0999755859373,-0.0750724911558736,-0.1048330008328284,-0.0941,-0.013500000000000002,0.061799999999999994,0.0,-0.1048330008328284,-0.0750724911558736
2022-05-01,10.562294006347656,1864.0400390625,0.0591506109920238,-3.215357964410743e-05,-0.0034000000000000002,-0.0184,0.08439999999999999,0.0003,-0.0003321535796441074,0.0588506109920238
2022-06-01,8.650940895080566,1707.989990234375,-0.1996224011094214,-0.0874289613857588,-0.084,0.0207,-0.06,0.0006,-0.0880289613857588,-0.20022240110942138
2022-07-01,9.815271377563477,1885.22998046875,0.1262713875879134,0.098732584180926,0.09570000000000001,0.028399999999999998,-0.0415,0.0008,0.097932584180926,0.1254713875879134
2022-08-01,9.756497383117676,1844.1199951171875,-0.0060060152804861,-0.022047622720424,-0.0377,0.0141,0.0018,0.0019,-0.023947622720424,-0.0079060152804861
2022-09-01,9.068001747131348,1664.719970703125,-0.0731815360182655,-0.1023452727674846,-0.0934,-0.0076,0.0003,0.0019,-0.1042452727674846,-0.0750815360182655
2022-10-01,10.06116008758545,1846.8599853515625,0.1039305495652754,0.1038299682966892,0.0785,0.0001,0.0797,0.0023,0.1015299682966892,0.10163054956527541
2022-11-01,10.730772972106934,1886.5799560546875,0.0644331175744331,0.0212787509820787,0.04650000000000001,-0.035699999999999996,0.0148,0.0029,0.0183787509820787,0.0615331175744331
2022-12-01,9.586496353149414,1761.25,-0.1127601140939407,-0.0687418585717219,-0.0638,-0.0076,0.0134,0.0033,-0.07204185857172189,-0.1160601140939407
2023-01-01,10.165704727172852,1931.93994140625,0.0586642951083854,0.0925008648477374,0.0661,0.0501,-0.0394,0.0034999999999999996,0.0890008648477374,0.0551642951083854
2023-02-01,9.908991813659668,1896.989990234375,-0.0255771645449894,-0.0182562347687518,-0.025699999999999997,0.0105,-0.008,0.0034000000000000002,-0.0216562347687518,-0.0289771645449894
2023-03-01,7.906657695770264,1802.47998046875,-0.2257374580626722,-0.0511049307305104,0.0248,-0.0548,-0.09050000000000001,0.0036,-0.0547049307305104,-0.2293374580626722
2023-04-01,8.114660263061523,1768.989990234375,0.0259671839248754,-0.0187547268492592,0.0062,-0.0337,-0.0012,0.0034999999999999996,-0.0222547268492592,0.0224671839248754
2023-05-01,6.384455680847168,1749.6500244140625,-0.2398060986076124,-0.0109929748435296,0.0034000000000000002,0.016,-0.0779,0.0036,-0.014592974843529598,-0.2434060986076124
2023-06-01,6.704542636871338,1888.72998046875,0.0489190659792172,0.0764888533074676,0.0646,0.0149,-0.0013,0.004,0.0724888533074676,0.0449190659792172
2023-07-01,8.99122142791748,2003.1800537109373,0.2934634022708379,0.0588313094671717,0.0321,0.021400000000000002,0.04019999999999999,0.0045000000000000005,0.0543313094671717,0.2889634022708379
2023-08-01,8.04477596282959,1899.6800537109373,-0.1112257723737604,-0.0530504654520575,-0.0236,-0.0304,-0.0129,0.0045000000000000005,-0.0575504654520575,-0.1157257723737604
2023-09-01,7.501448154449463,1785.0999755859375,-0.0699268428920423,-0.0622110568142313,-0.052300000000000006,-0.024700000000000003,0.0147,0.0043,-0.0665110568142313,-0.0742268428920423
2023-10-01,6.901142120361328,1662.280029296875,-0.0834091665676862,-0.0712842508059689,-0.0315,-0.038599999999999995,0.0021,0.004699999999999999,-0.07598425080596889,-0.08810916656768619
2023-11-01,8.072031021118164,1809.02001953125,0.1567182035006618,0.084595101391765,0.0888,-0.0014000000000000002,0.0178,0.0044,0.080195101391765,0.1523182035006618
2023-12-01,9.633214950561523,2027.0699462890625,0.1768118914094989,0.1138061011899491,0.048499999999999995,0.06280000000000001,0.049400000000000006,0.0043,0.1095061011899491,0.1725118914094989
2024-01-01,8.630057334899902,1947.3399658203125,-0.1099658687592329,-0.0401270529458351,0.0073,-0.050499999999999996,-0.0236,0.004699999999999999,-0.0448270529458351,-0.11466586875923289
2024-02-01,7.347212791442871,2054.840087890625,-0.1609301194894039,0.0537337075840497,0.0507,-0.0022,-0.0347,0.0042,0.0495337075840497,-0.1651301194894039
2024-03-01,7.1408796310424805,2124.550048828125,-0.028485062868799,0.0333620094192451,0.028399999999999998,-0.0248,0.0414,0.0043,0.029062009419245104,-0.032785062868799
2024-04-01,6.376314163208008,1973.9100341796875,-0.113245753340081,-0.0735436736455233,-0.04650000000000001,-0.023700000000000002,-0.005,0.004699999999999999,-0.0782436736455233,-0.11794575334008099
